-7.655,-7.221,-118.970,26.954
-7.559,-7.290,-119.037,25.976
6.842,7.892,-118.966,28.980
6.738,7.727,-118.955,29.466
-6.703,8.385,-118.941,29.458
-6.706,8.336,-118.979,28.988
2.665,-9.207,-118.524,25.974
2.716,-9.562,-118.592,28.988
2.799,-9.419,-118.577,29.466
2.791,-8.983,-118.561,26.479
2.442,-9.228,-118.722,143.110
2.580,-8.953,-118.696,25.980
2.718,-9.160,-118.795,25.994
2.775,-9.157,-118.818,29.455
2.906,-9.164,-118.856,25.969
2.568,-9.123,-118.859,29.963
2.684,-9.144,-118.912,29.454
2.785,-9.414,-118.958,200.162
-0.819,-6.903,-118.439,29.488
-0.723,-6.739,-118.490,28.965
-0.936,-6.801,-118.514,28.965
-0.362,-6.945,-118.593,29.438
4.246,-6.549,-118.504,25.956
4.304,-6.506,-118.561,1.009
4.417,-6.642,-118.612,29.464
4.164,-6.718,-118.624,28.984
4.138,-6.450,-118.601,28.970
3.996,-6.872,-118.680,29.458
4.171,-6.177,-118.533,28.990
4.366,-6.084,-118.578,29.760
3.995,-6.184,-118.586,28.954
4.900,-6.332,-118.583,25.981
4.780,-6.352,-118.615,29.425
4.823,-6.060,-118.602,29.476
6.815,-6.184,-118.509,28.955
6.999,-6.186,-118.694,25.962
6.588,-6.271,-118.662,29.459
6.842,-6.534,-118.718,26.471
6.795,-6.235,-118.685,29.542
6.523,-6.186,-118.668,29.453
6.675,-6.216,-118.716,26.006
6.592,-6.127,-118.707,29.478
6.812,-5.922,-118.714,25.966
6.904,-6.237,-118.800,1.085
6.656,-6.353,-118.787,30.034
6.527,-6.215,-118.771,29.450
6.455,-6.111,-118.762,7.163
6.691,-6.477,-118.850,29.504
6.438,-6.315,-118.833,29.018
6.924,-6.201,-118.875,29.475
4.104,-5.821,-118.509,29.488
4.460,-5.685,-118.554,28.954
4.309,-5.629,-118.582,29.471
4.043,-5.811,-118.605,28.961
4.730,-5.710,-118.490,28.949
4.590,-5.633,-118.554,11.681
-7.695,-5.242,-118.415,29.474
-7.866,-5.149,-118.434,30.002
-7.883,-5.109,-118.571,28.970
-7.648,-5.315,-118.656,25.995
-8.017,-5.477,-118.788,25.965
-7.731,-5.534,-118.765,29.466
-7.682,-5.252,-118.755,28.985
-7.618,-5.029,-118.746,29.463
-7.937,-4.962,-118.803,135.540
-7.540,-5.059,-118.832,28.985
-3.215,-5.434,-118.481,25.977
4.412,-5.392,-118.497,43.467
4.169,-5.093,-118.477,28.985
4.050,-5.284,-118.500,28.961
4.446,-5.296,-118.569,25.955
4.734,-4.998,-118.515,29.468
4.664,-5.001,-118.543,29.795
-7.928,-4.903,-118.563,1.012
-7.711,-4.772,-118.534,145.828
-7.957,-4.771,-118.658,57.932
-7.994,-4.541,-118.718,50.161
-7.784,-4.721,-118.768,29.450
-7.523,-4.735,-118.771,30.030
-7.476,-4.755,-118.794,28.997
-7.503,-4.525,-118.809,29.464
-7.879,-4.502,-118.861,29.980
3.120,-4.749,-118.437,28.963
3.783,-4.734,-118.416,25.979
7.384,-4.467,-118.666,0.031
7.226,-4.486,-118.669,25.977
7.174,-4.474,-118.737,25.970
5.770,-2.771,-118.503,25.963
5.569,-2.871,-118.503,30.956
-9.382,-0.929,-118.722,29.456
-9.196,-1.047,-118.696,29.474
-9.356,-0.595,-118.728,29.462
-9.031,-0.823,-118.699,28.984
-9.269,-0.668,-118.756,25.965
-9.343,-0.675,-118.796,60.003
-8.910,-0.756,-118.752,29.962
-9.291,-0.779,-118.835,28.975
-9.330,-0.731,-118.871,29.447
-8.739,-0.807,-118.525,29.528
-8.761,-0.667,-118.571,29.468
-8.892,-0.722,-118.636,29.972
-8.704,-0.529,-118.615,29.463
-8.911,-0.963,-118.674,25.964
-8.839,-0.769,-118.702,28.966
-8.886,-0.935,-118.734,30.513
-8.889,-0.593,-118.759,28.969
-8.867,-0.688,-118.772,28.943
-8.715,-0.511,-118.804,25.963
-7.931,1.018,-118.639,25.973
-7.587,0.688,-118.600,20.311
-8.075,0.805,-118.708,29.469
-7.920,0.880,-118.690,30.031
-7.611,0.587,-118.672,25.976
-7.532,0.850,-118.666,29.458
-7.354,0.538,-118.560,28.949
-7.289,0.498,-118.598,25.993
-7.246,0.830,-118.615,29.009
-6.644,0.687,-118.486,29.464
-6.693,0.503,-118.517,29.469
-7.256,1.326,-118.554,29.465
-7.542,1.247,-118.636,28.957
-7.208,1.191,-118.606,57.995
-7.096,1.494,-118.603,28.912
-7.185,1.539,-118.632,29.461
-6.956,1.246,-118.496,29.472
-6.748,1.424,-118.479,29.435
-6.947,1.127,-118.550,28.994
-6.882,1.367,-118.563,28.972
-6.572,1.133,-118.551,58.095
-5.832,1.266,-118.470,29.989
-7.211,1.729,-118.403,26.759
-7.246,1.924,-118.515,28.953
-7.274,2.017,-118.573,28.987
-7.025,1.564,-118.607,28.960
-7.316,2.325,-118.455,29.462
-7.179,2.514,-118.615,25.070
-7.021,2.080,-118.623,25.986
-7.462,3.216,-118.568,26.472
-7.517,3.142,-118.573,29.465
-7.153,3.554,-118.627,25.963
-7.427,3.524,-118.671,28.970
-7.200,3.290,-118.708,28.955
-7.194,3.814,-118.486,29.466
-7.012,3.865,-118.647,15.628
9.416,3.847,-118.492,29.481
9.236,3.613,-118.582,1.009
9.480,3.562,-118.667,25.962
9.121,3.996,-118.733,29.463
9.426,3.857,-118.910,29.127
9.456,3.706,-118.949,26.465
9.746,4.043,-118.583,29.504
9.928,3.777,-118.744,29.527
10.078,3.625,-118.764,29.471
9.987,3.639,-118.772,29.451
9.695,3.755,-118.736,25.979
9.929,3.615,-118.766,25.994
9.841,3.542,-118.760,25.969
9.546,3.539,-118.773,26.458
9.737,3.563,-118.804,26.021
9.774,3.902,-118.836,29.453
9.733,3.889,-118.964,25.978
9.929,3.603,-118.994,25.972
9.235,4.270,-118.426,29.458
9.245,4.307,-118.434,30.000
9.150,4.167,-118.520,0.348
9.150,4.263,-118.607,29.458
9.557,4.318,-118.701,25.947
9.304,4.149,-118.837,25.972
9.410,4.402,-118.933,1.007
9.165,4.075,-118.885,28.960
9.905,4.256,-118.524,30.959
9.594,4.380,-118.487,28.960
9.867,4.457,-118.818,33.581
9.795,4.218,-118.814,29.467
9.569,4.059,-118.808,28.983
9.811,4.430,-118.871,25.968
-5.766,4.522,-118.495,25.961
-5.691,4.642,-118.635,29.491
-5.354,5.148,-118.543,28.958
6.154,6.171,-118.502,30.019
6.380,6.354,-118.576,25.982
5.968,6.300,-118.544,28.978
6.184,6.071,-118.693,25.953
6.387,6.512,-118.774,31.964
6.025,6.082,-118.703,29.462
6.381,6.482,-118.827,26.004
6.767,6.217,-118.443,29.022
6.715,6.214,-118.457,28.975
6.778,6.225,-118.486,25.955
6.867,6.297,-118.573,28.955
6.990,6.330,-118.784,26.475
6.857,6.452,-118.802,29.472
6.648,6.683,-118.598,29.041
6.605,7.053,-118.838,28.979
-6.729,7.880,-118.480,26.490
-6.938,7.823,-118.654,29.455
-6.589,7.567,-118.622,26.463
-6.941,7.536,-118.667,57.945
-6.683,7.449,-118.791,29.443
-6.893,7.953,-118.897,57.963
-6.902,7.621,-119.029,1.011
-0.292,7.891,-118.522,29.452
-0.236,8.034,-118.562,31.004
-0.242,7.563,-118.522,1.012
0.047,7.688,-118.595,30.963
6.500,7.860,-118.900,25.970
6.565,7.750,-118.899,29.473
6.255,7.897,-118.918,25.954
6.337,7.471,-118.932,29.465
-0.821,8.100,-118.561,28.971
-0.949,8.432,-118.620,28.960
-0.603,8.216,-118.590,29.448
-0.546,8.064,-118.591,29.058
-0.677,8.527,-118.775,158.568
-0.747,8.460,-118.769,25.975
-0.331,8.120,-118.442,25.982
-0.149,8.469,-118.516,164.659
-0.193,8.032,-118.511,25.973
-0.305,8.511,-118.607,29.986
-0.285,8.466,-118.620,28.968
-0.406,8.064,-118.697,26.459
-0.015,8.280,-118.742,28.995
6.201,8.386,-118.597,25.954
6.439,8.321,-118.616,25.992
-3.353,9.262,-118.423,29.453
-3.356,9.372,-118.454,25.978
-3.294,9.017,-118.643,25.964
-3.048,9.323,-118.677,29.454
