0	0	0	59
0	0	0.36	59
0	0.36	0	59
0.36	0	0	59
0	0.36	0.36	59
0.36	0	0.36	59
0.36	0.36	0	59
0.36	0.36	0.36	59
0	0.18	0.18	59
0.36	0.18	0.18	59
0.18	0	0.18	59
0.18	0.36	0.18	59
0.18	0.18	0	59
0.18	0.18	0.36	59
0	0	0.36	59
0	0	0.72	59
0	0.36	0.36	59
0.36	0	0.36	59
0	0.36	0.72	59
0.36	0	0.72	59
0.36	0.36	0.36	59
0.36	0.36	0.72	59
0	0.18	0.54	59
0.36	0.18	0.54	59
0.18	0	0.54	59
0.18	0.36	0.54	59
0.18	0.18	0.36	59
0.18	0.18	0.72	59
0	0	0.72	59
0	0	1.08	59
0	0.36	0.72	59
0.36	0	0.72	59
0	0.36	1.08	59
0.36	0	1.08	59
0.36	0.36	0.72	59
0.36	0.36	1.08	59
0	0.18	0.9	59
0.36	0.18	0.9	59
0.18	0	0.9	59
0.18	0.36	0.9	59
0.18	0.18	0.72	59
0.18	0.18	1.08	59
0	0.36	0	59
0	0.36	0.36	59
0	0.72	0	59
0.36	0.36	0	59
0	0.72	0.36	59
0.36	0.36	0.36	59
0.36	0.72	0	59
0.36	0.72	0.36	59
0	0.54	0.18	59
0.36	0.54	0.18	59
0.18	0.36	0.18	59
0.18	0.72	0.18	59
0.18	0.54	0	59
0.18	0.54	0.36	59
0	0.36	0.36	59
0	0.36	0.72	59
0	0.72	0.36	59
0.36	0.36	0.36	59
0	0.72	0.72	59
0.36	0.36	0.72	59
0.36	0.72	0.36	59
0.36	0.72	0.72	59
0	0.54	0.54	59
0.36	0.54	0.54	59
0.18	0.36	0.54	59
0.18	0.72	0.54	59
0.18	0.54	0.36	59
0.18	0.54	0.72	59
0	0.36	0.72	59
0	0.36	1.08	59
0	0.72	0.72	59
0.36	0.36	0.72	59
0	0.72	1.08	59
0.36	0.36	1.08	59
0.36	0.72	0.72	59
0.36	0.72	1.08	59
0	0.54	0.9	59
0.36	0.54	0.9	59
0.18	0.36	0.9	59
0.18	0.72	0.9	59
0.18	0.54	0.72	59
0.18	0.54	1.08	59
0	0.72	0	59
0	0.72	0.36	59
0	1.08	0	59
0.36	0.72	0	59
0	1.08	0.36	59
0.36	0.72	0.36	59
0.36	1.08	0	59
0.36	1.08	0.36	59
0	0.9	0.18	59
0.36	0.9	0.18	59
0.18	0.72	0.18	59
0.18	1.08	0.18	59
0.18	0.9	0	59
0.18	0.9	0.36	59
0	0.72	0.36	59
0	0.72	0.72	59
0	1.08	0.36	59
0.36	0.72	0.36	59
0	1.08	0.72	59
0.36	0.72	0.72	59
0.36	1.08	0.36	59
0.36	1.08	0.72	59
0	0.9	0.54	59
0.36	0.9	0.54	59
0.18	0.72	0.54	59
0.18	1.08	0.54	59
0.18	0.9	0.36	59
0.18	0.9	0.72	59
0	0.72	0.72	59
0	0.72	1.08	59
0	1.08	0.72	59
0.36	0.72	0.72	59
0	1.08	1.08	59
0.36	0.72	1.08	59
0.36	1.08	0.72	59
0.36	1.08	1.08	59
0	0.9	0.9	59
0.36	0.9	0.9	59
0.18	0.72	0.9	59
0.18	1.08	0.9	59
0.18	0.9	0.72	59
0.18	0.9	1.08	59
0.36	0	0	59
0.36	0	0.36	59
0.36	0.36	0	59
0.72	0	0	59
0.36	0.36	0.36	59
0.72	0	0.36	59
0.72	0.36	0	59
0.72	0.36	0.36	59
0.36	0.18	0.18	59
0.72	0.18	0.18	59
0.54	0	0.18	59
0.54	0.36	0.18	59
0.54	0.18	0	59
0.54	0.18	0.36	59
0.36	0	0.36	59
0.36	0	0.72	59
0.36	0.36	0.36	59
0.72	0	0.36	59
0.36	0.36	0.72	59
0.72	0	0.72	59
0.72	0.36	0.36	59
0.72	0.36	0.72	59
0.36	0.18	0.54	59
0.72	0.18	0.54	59
0.54	0	0.54	59
0.54	0.36	0.54	59
0.54	0.18	0.36	59
0.54	0.18	0.72	59
0.36	0	0.72	59
0.36	0	1.08	59
0.36	0.36	0.72	59
0.72	0	0.72	59
0.36	0.36	1.08	59
0.72	0	1.08	59
0.72	0.36	0.72	59
0.72	0.36	1.08	59
0.36	0.18	0.9	59
0.72	0.18	0.9	59
0.54	0	0.9	59
0.54	0.36	0.9	59
0.54	0.18	0.72	59
0.54	0.18	1.08	59
0.36	0.36	0	59
0.36	0.36	0.36	59
0.36	0.72	0	59
0.72	0.36	0	59
0.36	0.72	0.36	59
0.72	0.36	0.36	59
0.72	0.72	0	59
0.72	0.72	0.36	59
0.36	0.54	0.18	59
0.72	0.54	0.18	59
0.54	0.36	0.18	59
0.54	0.72	0.18	59
0.54	0.54	0	59
0.54	0.54	0.36	59
0.36	0.36	0.36	59
0.36	0.36	0.72	59
0.36	0.72	0.36	59
0.72	0.36	0.36	59
0.36	0.72	0.72	59
0.72	0.36	0.72	59
0.72	0.72	0.36	59
0.72	0.72	0.72	59
0.36	0.54	0.54	59
0.72	0.54	0.54	59
0.54	0.36	0.54	59
0.54	0.72	0.54	59
0.54	0.54	0.36	59
0.54	0.54	0.72	59
0.36	0.36	0.72	59
0.36	0.36	1.08	59
0.36	0.72	0.72	59
0.72	0.36	0.72	59
0.36	0.72	1.08	59
0.72	0.36	1.08	59
0.72	0.72	0.72	59
